source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
8,0,TIMP3,CD44,0.6118464,0.342,0.2388561,0.028567458,0.3638254757190978,0.017360067,0.82833666,0.7025153788021741,0.43245468757243166
8,2,CALM3,RYR2,0.4968753,0.976,0.21642944,-0.06953574,-0.06444026365182098,0.007935675,0.8212129,1.0,0.43245468757243166
1,7,VCAN,CD44,0.52997696,0.898,0.20731482,-0.22225067,-0.36613071336886344,0.006639456,0.8180324,1.0,0.43245468757243166
4,1,CALM3,AQP1,1.1192904,0.118,0.4924246,0.17989534,-0.2749778000892491,0.0072848327,0.87387073,1.0,0.4326148431305793
3,6,LRRC4B,PTPRD,0.49679986,0.0,0.21875122,0.22079012,0.24751211844863763,0.026006272,0.82199484,0.03293351585159193,0.43281213201326946
6,1,FGF12,FGFR1,0.6249881,0.002,0.23902369,0.775744,0.6441237448833144,0.031805076,0.82838655,0.005083371501400931,0.43281213201326946
5,5,ADAM10,NRCAM,0.5474435,0.006,0.20720616,0.10002813,0.1182153380943275,0.018015757,0.8179934,0.22943895487950683,0.43281213201326946
1,4,APP,TNFRSF21,0.9870878,0.046,0.49188203,0.44498485,0.36335898222420665,0.032197416,0.87380993,0.05802711066643051,0.43308788553008437
1,4,FGF2,SDC3,0.24068147,0.459,0.05504228,0.003416949,-0.2847548202219989,0.016467202,0.69846624,1.0,0.43344236206104036
4,3,EDIL3,ITGAV,0.53121424,0.59,0.23905179,-0.0052760653,-0.36602085265895906,0.014278436,0.8283949,1.0,0.43352761167621
7,3,CNTN1,NRCAM,0.8295149,0.006,0.51280665,0.15277761,0.32270742808046204,0.010749964,0.8760889,0.6487075607008131,0.4335611236596977
3,4,VCAN,CD44,0.49642286,1.0,0.22887877,-0.24042067,-0.8131570378055941,0.0073300623,0.8252818,1.0,0.4338854992008066
1,0,FGF1,CD44,0.61197066,0.867,0.23909962,-0.19395788,-0.4052220080907172,0.0070312065,0.82840914,1.0,0.4338854992008066
5,5,CALM3,GRM5,0.6885825,0.009,0.23928353,0.0981363,0.0633619538032244,0.009288461,0.82846373,1.0,0.4342437315216876
4,1,GRN,SORT1,0.6450991,0.169,0.20691451,0.19962585,0.14031879861272967,0.025324272,0.81788856,0.24610029178087425,0.4342437315216876
8,6,CD99,CD81,0.8291117,0.0,0.6281387,0.16894448,0.44054109345281744,0.028214743,0.8866867,0.06686183150253999,0.4345081866756093
0,4,CALM1,PDE1A,1.3162813,0.261,0.4916196,0.11712977,0.1437698076783754,0.016826095,0.87378055,0.4184652893280224,0.4345081866756093
1,1,PTN,PTPRZ1,0.5685389,0.228,0.23935759,0.16375613,0.30885843493293963,0.02112667,0.8284858,0.35184318983622714,0.43460216096844717
5,4,PSEN1,NCSTN,0.2371926,0.003,0.055106543,0.15308863,0.21395700105389878,0.03656235,0.6985891,0.08760275458839743,0.43461340762442613
8,5,MIF,CD44_CD74,0.51113325,0.996,0.2395363,-0.09243101,-0.2744736300010937,0.010142369,0.82853884,1.0,0.4349606395452894
1,5,LRRC4B,PTPRF,0.49617344,0.018,0.21657106,0.45774773,0.7791485997852168,0.055833265,0.82126087,0.006612178025681001,0.4349606395452894
5,4,NCAM1,NCAM2,0.8289503,0.001,0.6266147,0.18241754,0.0955122793441292,0.018321136,0.88656455,0.2607093760905933,0.43498201134508796
1,6,SLITRK1,PTPRD,0.5126101,0.018,0.23975696,0.39420596,0.39735145054542165,0.049703375,0.82860416,0.024766626532624826,0.4353194633250599
7,1,NCAM1,PTPRA,0.5301099,0.894,0.20668869,-0.15979257,-0.1963211410878225,0.0064335526,0.81780714,1.0,0.4353194633250599
3,4,NCAM1,PTPRA,0.8287288,0.024,0.52892077,0.121159114,-0.1013238117226799,0.016463596,0.87775856,1.0,0.4354559823875429
